2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
3	2
3	7
3	1
3	1
3	9
4	2
4	1
4	1
4	1
4	11
4	1
4	1
4	1
4	1
4	1
4	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	11
1	1
1	1
1	1
1	1
2	1
2	1
2	1
2	8
2	3
2	1
2	1
2	3
2	1
3	1
3	2
3	1
3	1
3	1
3	1
3	1
3	1
3	12
3	1
3	1
3	1
3	1
3	4
3	1
3	1
3	2
3	3
3	1
4	8
4	1
4	1
4	2
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	2
4	1
4	2
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
5	1
5	1
5	1
5	1
5	1
5	1
5	10
5	1
5	1
5	1
5	1
5	12
5	1
5	3
5	1
5	1
5	2
5	1
5	4
5	1
1	1
1	1
1	1
1	2
1	2
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	8
1	1
1	1
1	2
1	6
1	1
1	1
1	2
1	1
1	1
1	1
2	1
2	11
2	1
2	1
2	1
2	2
2	1
2	1
2	1
2	1
2	1
2	2
2	1
2	1
2	1
2	1
2	2
2	1
2	1
3	1
3	2
3	9
3	2
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
4	1
4	1
4	3
4	1
4	2
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	2
4	1
4	1
4	1
4	1
4	1
5	4
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	11
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
2	1
2	1
2	1
2	1
2	1
2	9
2	1
2	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	15
3	1
3	1
3	1
3	1
4	1
4	1
4	1
4	1
4	2
4	1
4	1
5	1
5	2
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
1	1
1	1
1	1
1	1
1	1
1	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	4
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	2
3	1
3	1
3	10
3	1
3	2
3	1
3	1
3	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
4	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
5	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
4	1
4	1
4	1
4	1
4	2
4	1
4	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	3
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	2
2	4
2	1
2	1
2	1
2	1
2	2
2	3
2	1
2	1
2	1
2	1
2	2
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	1
2	3
2	1
2	1
3	4
3	1
3	1
3	1
3	1
3	1
3	1
